Clustering Summary:
Number of clusters: 10
Size of Cluster 0: 2323
Size of Cluster 1: 1275
Size of Cluster 2: 1308
Size of Cluster 3: 1729
Size of Cluster 4: 1166
Size of Cluster 5: 1370
Size of Cluster 6: 1540
Size of Cluster 7: 1315
Size of Cluster 8: 1731
Size of Cluster 9: 1243

Number of given clusters: 3
Cross Tabulation:
Cluster ID   1   2   3   
0            23220   1   
1            0   0   1275
2            13080   0   
3            0   17290   
4            0   0   1166
5            13700   0   
6            0   15400   
7            0   0   1315
8            0   17310   
9            0   0   1243

Cluster Membership
Record ID, Cluster Index, Cluster Index Given
1, 0, 0
2, 2, 0
3, 5, 0
4, 2, 0
5, 2, 0
6, 0, 0
7, 2, 0
8, 0, 0
9, 5, 0
10, 5, 0
11, 2, 0
12, 5, 0
13, 5, 0
14, 0, 0
15, 5, 0
16, 5, 0
17, 2, 0
18, 2, 0
19, 0, 0
20, 0, 0
21, 0, 0
22, 2, 0
23, 2, 0
24, 0, 0
25, 0, 0
26, 0, 0
27, 0, 0
28, 0, 0
29, 2, 0
30, 5, 0
31, 0, 0
32, 0, 0
33, 0, 0
34, 0, 0
35, 0, 0
36, 2, 0
37, 2, 0
38, 0, 0
39, 5, 0
40, 0, 0
41, 5, 0
42, 5, 0
43, 0, 0
44, 0, 0
45, 0, 0
46, 5, 0
47, 5, 0
48, 0, 0
49, 0, 0
50, 0, 0
51, 0, 0
52, 5, 0
53, 0, 0
54, 2, 0
55, 2, 0
56, 0, 0
57, 0, 0
58, 0, 0
59, 0, 0
60, 2, 0
61, 0, 0
62, 2, 0
63, 2, 0
64, 2, 0
65, 0, 0
66, 5, 0
67, 0, 0
68, 2, 0
69, 5, 0
70, 5, 0
71, 0, 0
72, 0, 0
73, 0, 0
74, 0, 0
75, 5, 0
76, 5, 0
77, 5, 0
78, 5, 0
79, 0, 0
80, 0, 0
81, 0, 0
82, 2, 0
83, 2, 0
84, 0, 0
85, 5, 0
86, 0, 0
87, 5, 0
88, 0, 0
89, 5, 0
90, 2, 0
91, 5, 0
92, 0, 0
93, 2, 0
94, 0, 0
95, 5, 0
96, 0, 0
97, 5, 0
98, 5, 0
99, 0, 0
100, 5, 0
101, 5, 0
102, 5, 0
103, 0, 0
104, 0, 0
105, 2, 0
106, 5, 0
107, 0, 0
108, 2, 0
109, 0, 0
110, 0, 0
111, 0, 0
112, 0, 0
113, 0, 0
114, 5, 0
115, 0, 0
116, 0, 0
117, 2, 0
118, 5, 0
119, 0, 0
120, 0, 0
121, 0, 0
122, 2, 0
123, 2, 0
124, 5, 0
125, 0, 0
126, 0, 0
127, 0, 0
128, 0, 0
129, 2, 0
130, 0, 0
131, 0, 0
132, 0, 0
133, 5, 0
134, 5, 0
135, 0, 0
136, 5, 0
137, 0, 0
138, 5, 0
139, 0, 0
140, 5, 0
141, 0, 0
142, 5, 0
143, 0, 0
144, 2, 0
145, 5, 0
146, 2, 0
147, 5, 0
148, 0, 0
149, 2, 0
150, 2, 0
151, 0, 0
152, 2, 0
153, 2, 0
154, 0, 0
155, 0, 0
156, 2, 0
157, 0, 0
158, 2, 0
159, 2, 0
160, 0, 0
161, 0, 0
162, 2, 0
163, 0, 0
164, 2, 0
165, 5, 0
166, 0, 0
167, 0, 0
168, 0, 0
169, 0, 0
170, 0, 0
171, 2, 0
172, 0, 0
173, 0, 0
174, 0, 0
175, 0, 0
176, 5, 0
177, 0, 0
178, 2, 0
179, 5, 0
180, 2, 0
181, 5, 0
182, 2, 0
183, 2, 0
184, 0, 0
185, 2, 0
186, 0, 0
187, 2, 0
188, 0, 0
189, 0, 0
190, 0, 0
191, 2, 0
192, 0, 0
193, 2, 0
194, 2, 0
195, 5, 0
196, 0, 0
197, 5, 0
198, 2, 0
199, 0, 0
200, 0, 0
201, 2, 0
202, 0, 0
203, 0, 0
204, 2, 0
205, 0, 0
206, 0, 0
207, 0, 0
208, 0, 0
209, 2, 0
210, 5, 0
211, 0, 0
212, 2, 0
213, 5, 0
214, 2, 0
215, 5, 0
216, 5, 0
217, 2, 0
218, 5, 0
219, 0, 0
220, 0, 0
221, 0, 0
222, 0, 0
223, 0, 0
224, 5, 0
225, 2, 0
226, 0, 0
227, 0, 0
228, 0, 0
229, 0, 0
230, 2, 0
231, 0, 0
232, 5, 0
233, 0, 0
234, 0, 0
235, 0, 0
236, 0, 0
237, 0, 0
238, 0, 0
239, 5, 0
240, 0, 0
241, 0, 0
242, 5, 0
243, 2, 0
244, 5, 0
245, 0, 0
246, 2, 0
247, 2, 0
248, 5, 0
249, 5, 0
250, 5, 0
251, 2, 0
252, 5, 0
253, 5, 0
254, 5, 0
255, 0, 0
256, 2, 0
257, 5, 0
258, 0, 0
259, 0, 0
260, 2, 0
261, 2, 0
262, 0, 0
263, 2, 0
264, 0, 0
265, 0, 0
266, 0, 0
267, 0, 0
268, 0, 0
269, 5, 0
270, 0, 0
271, 2, 0
272, 2, 0
273, 2, 0
274, 0, 0
275, 0, 0
276, 2, 0
277, 2, 0
278, 0, 0
279, 2, 0
280, 0, 0
281, 5, 0
282, 2, 0
283, 0, 0
284, 0, 0
285, 0, 0
286, 0, 0
287, 2, 0
288, 0, 0
289, 5, 0
290, 5, 0
291, 0, 0
292, 2, 0
293, 2, 0
294, 2, 0
295, 0, 0
296, 2, 0
